raw_ingredient,normalized_ingredient,occurrence_count,suggested_canonical_molecule,confidence_score,review_status
Atomoxetine hydrochloride eq. to Atomoxetine,Atomoxetine Hydrochloride Eq To Atomoxetine,225,Atomoxetine hydrochloride eq. to Atomoxetine,0.99,auto_candidate
Enteric coated pellets of Esomeprazole Magnesium Trihydrate eq. to Esomeprazole,Enteric Coated Pellets of Esomeprazole Magnesium Trihydrate Eq To Esomeprazole,188,Enteric Coated Pellets of Esomeprazole Magnesium Trihydrate Eq. to Esomeprazole,0.99,auto_candidate
Artemether + Lumefantrine,Artemether + Lumefantrine,100,Artemether + Lumefantrine,0.99,auto_candidate
Atomoxetine as hydrochloride,Atomoxetine As Hydrochloride,87,Atomoxetine as hydrochloride,0.99,auto_candidate
Tazobactam sodium eq to tazobactam,Tazobactam Sodium Eq To Tazobactam,87,Tazobactam sodium eq to tazobactam,0.99,auto_candidate
Clavulanic potassium eq to clavulanic acid,Clavulanic Potassium Eq To Clavulanic Acid,76,Clavulanic potassium eq to clavulanic acid,0.99,auto_candidate
Ezetimibe + Simvastatin,Ezetimibe + Simvastatin,72,Ezetimibe + Simvastatin,0.99,auto_candidate
Piperacillin (as sodium),Piperacillin (as Sodium),66,Piperacillin (as Sodium),0.99,auto_candidate
Tazobactam (as sodium),Tazobactam (as Sodium),66,Tazobactam (as sodium),0.99,auto_candidate
-,-,61,eq. to elemental Iron,0.99,auto_candidate
Cefepime hydrochloride with L-arginine eq. to Cefepime,Cefepime Hydrochloride With L-arginine Eq To Cefepime,60,Cefepime hydrochloride with L-arginine eq. to Cefepime,0.99,auto_candidate
Cefepime as HCl with L-arginine eq. to Cefipime,Cefepime As Hcl With L-arginine Eq To Cefipime,58,cefepime as HCL,0.99,auto_candidate
Alendronate (as sodium),Alendronate (as Sodium),56,Alendronate(as Sodium),0.99,auto_candidate
Doxazosin (as mesylate),Doxazosin (as Mesylate),55,Doxazosin as Mesilate,0.99,auto_candidate
Sterile Ceftriaxone (as Sodium),Sterile Ceftriaxone (as Sodium),48,Sterile Ceftriaxone (as Sodium),0.99,auto_candidate
Ceftazidime as pentahydrate with sodium carbonate,Ceftazidime As Pentahydrate With Sodium Carbonate,45,Ceftazidime as Ceftazidime Pentahydrate,0.99,auto_candidate
Sterile Cephradine Arginine eq. to Cephradine Base,Sterile Cephradine Arginine Eq To Cephradine Base,45,Sterile Cephradine Arginine eq. to Cephradine Base,0.99,auto_candidate
Artemether + Lumifantrine,Artemether + Lumifantrine,44,Artemether + Lumifantrine,0.99,auto_candidate
Tiotropium (as bromide monohydrate),Tiotropium (as Bromide Monohydrate),42,Tiotropium (as Bromide monohydrate),0.99,auto_candidate
Bosentan Monohydrate eq to Bosentan,Bosentan Monohydrate Eq To Bosentan,41,Bosentan monohydrate eq to Bosentan,0.99,auto_candidate
Esomeprazole enteric coated pellets (22.5% w/w) eq. to Esomeprazole,Esomeprazole Enteric Coated Pellets (22.5% W / W) Eq To Esomeprazole,40,Esomeprazole enteric coated pellets (as Magnesium Trihydrate),0.99,auto_candidate
Galantamine HBr eq to galantamine,Galantamine Hbr Eq To Galantamine,40,Galantamine HBr eq to galantamine,0.99,auto_candidate
Ceftazidime as Pentahydrate buffered with sodium carbonate,Ceftazidime As Pentahydrate Buffered With Sodium Carbonate,39,Ceftazidime as Ceftazidime Pentahydrate,0.99,auto_candidate
Mupirocin(as calcium),Mupirocin(as Calcium),38,Mupirocin(as calcium dihydrate),0.99,auto_candidate
Artemether+Lumefantrine,Artemether + Lumefantrine,37,Artemether + Lumefantrine,0.99,auto_candidate
Salbactum (as Sodium),Salbactum (as Sodium),36,Salbactum as Sodium,0.99,auto_candidate
Bosentan Monohydrate eq. to Bosentan,Bosentan Monohydrate Eq To Bosentan,34,Bosentan monohydrate eq to Bosentan,0.99,auto_candidate
Levofloxacin(as Hemihydrate),Levofloxacin(as Hemihydrate),34,levofloxacin (as Hemihydrate),0.99,auto_candidate
Ticarcillin disodium eq to Ticarcillin,Ticarcillin Disodium Eq To Ticarcillin,34,Ticarcillin disodium eq to Ticarcillin,0.99,auto_candidate
"Adsorbed on Aluminum Phosphate, Al+++","Adsorbed On Aluminum Phosphate, Al + + +",34,"Adsorbed on Aluminum Phosphate, Al+++",0.83,review_candidate
Artemether +Lumefantrine,Artemether + Lumefantrine,33,Artemether + Lumefantrine,0.99,auto_candidate
Bosentan as Monohydrate,Bosentan As Monohydrate,32,Bosentan (as Monohydrate),0.99,auto_candidate
Each ml contains: Lincomycin as HCl,Each Ml Contains: Lincomycin As Hcl,32,Each ml contains: Lincomycin as HCl,0.99,auto_candidate
Olmesartan (as medoxomil),Olmesartan (as Medoxomil),32,Olmesartan (as medoxomil),0.99,auto_candidate
Omeprazole (as enteric coated pellets 8.5% w/w),Omeprazole (as Enteric Coated Pellets 8.5% W / W),32,Omeprazole as enteric coated pellets eq. to Omeprazole,0.99,auto_candidate
Salbactam (as Sodium Salt),Salbactam (as Sodium Salt),32,Salbactam (as Sodium Salt),0.99,auto_candidate
GLIMEPRIDE+ PIOGLITAZONE,Glimepride + Pioglitazone,32,GLIMEPRIDE+ PIOGLITAZONE,0.96,auto_candidate
Alendronate (as Sodium),Alendronate (as Sodium),30,Alendronate(as Sodium),0.99,auto_candidate
Cefepime as HCl and L-Arginine eq. to Cefepime,Cefepime As Hcl and L-arginine Eq To Cefepime,30,cefepime as HCL,0.99,auto_candidate
Cefepime Hydrochloride with L Arginine eq. to Cefepime,Cefepime Hydrochloride With L Arginine Eq To Cefepime,30,Cefepime Hydrochloride with L Arginine eq. to Cefepime,0.99,auto_candidate
Cefquinome as Sulfate,Cefquinome As Sulfate,30,Cefquinome as Sulfate,0.99,auto_candidate
Ceftriaxone(as sodium),Ceftriaxone(as Sodium),30,Ceftriaxone(as s0dium),0.99,auto_candidate
Clemastine (as Hydrogen Fumarate),Clemastine (as Hydrogen Fumarate),30,Clemastine (as Hydrogen Fumarate),0.99,auto_candidate
eq. to,Eq To,30,eq. to elemental Iron,0.99,auto_candidate
Sterile Cefepime (as hydrochloride),Sterile Cefepime (as Hydrochloride),30,Sterile Cefepime (as hydrochloride),0.99,auto_candidate
Sterile Cefotaxime Sodium eq. to Cefotaxime Base,Sterile Cefotaxime Sodium Eq To Cefotaxime Base,30,Sterile Cefotaxime Sodium eq. to Cefotaxime Base,0.99,auto_candidate
.,.,28,eq. to elemental Iron,0.99,auto_candidate
Cefoperazone Sodium + Sulbactam Sodium,Cefoperazone Sodium + Sulbactam Sodium,28,Cefoperazone Sodium + Sulbactam Sodium,0.99,auto_candidate
Cephradine with L-Arginine,Cephradine With L-arginine,28,Cephradine with L-Arginine eq. to Cephradine,0.99,auto_candidate
Chlorhexidine Gluconate 7.1% w/w eq. to Chlorhexidine,Chlorhexidine Gluconate 7.1% W / W Eq To Chlorhexidine,28,Chlorhexidine (as chlorhexidine digluconate solution 7.1%w/v),0.92,review_candidate
Atorvastatin(as Calcium Trihydrate),Atorvastatin(as Calcium Trihydrate),27,Atorvastatin(calcium trihydrate),0.99,auto_candidate
Azithromycin(as Dihydrate),Azithromycin(as Dihydrate),27,Azithromycin as dihydrate eq. Azithromycin,0.99,auto_candidate
Ceftraixone (as sodium),Ceftraixone (as Sodium),27,Ceftraixone (as sodium),0.99,auto_candidate
